af Q889
al Q222
dz Q262
ad Q228
ao Q916
ag Q781
ar Q414
am Q399
au Q408
at Q40
az Q227
bs Q778
bh Q398
bd Q902
bb Q244
by Q184
be Q31
bz Q242
bj Q962
bt Q917
bo Q750
ba Q225
bw Q963
br Q155
bn Q921
bg Q219
bf Q965
bi Q967
cv Q1011
kh Q424
cm Q1009
ca Q16
cf Q929
td Q657
cl Q298
cn Q148
co Q739
km Q970
cg Q971
cr Q800
ci Q1008
hr Q224
cu Q241
cy Q229
cz Q213
kp Q423
cd Q974
dk Q35
dj Q977
dm Q784
do Q786
ec Q736
eg Q79
sv Q792
gq Q983
er Q986
ee Q191
et Q115
fj Q712
fi Q33
fr Q142
ga Q1000
gm Q1005
ge Q230
de Q183
gh Q117
gr Q41
gd Q769
gt Q774
gn Q1006
gw Q1007
gy Q734
ht Q790
hn Q783
hu Q28
is Q189
in Q668
id Q252
ir Q794
iq Q796
ie Q27
il Q801
it Q38
jm Q766
jp Q17
jo Q810
kz Q232
ke Q114
ki Q710
kw Q817
kg Q813
la Q819
lv Q211
lb Q822
ls Q1013
lr Q1014
ly Q1016
li Q347
lt Q37
lu Q32
mg Q1019
mw Q1020
my Q833
mv Q826
ml Q912
mt Q233
mh Q709
mr Q1025
mu Q1027
mx Q96
fm Q702
mc Q235
mn Q711
me Q236
ma Q1028
mz Q1029
mm Q836
na Q1030
nr Q697
np Q837
nl Q55
nz Q664
ni Q811
ne Q1032
ng Q1033
no Q20
om Q842
pk Q843
pw Q695
pa Q804
pg Q691
py Q733
pe Q419
ph Q928
pl Q36
pt Q45
qa Q846
kr Q884
md Q217
ro Q218
ru Q159
rw Q1037
kn Q763
lc Q760
vc Q757
ws Q683
sm Q238
st Q1039
sa Q851
sn Q1041
rs Q403
sc Q1042
sl Q1044
sg Q334
sk Q214
si Q215
sb Q685
so Q1045
za Q258
ss Q958
es Q29
lk Q854
sd Q1049
sr Q730
sz Q1050
se Q34
ch Q39
sy Q858
tj Q863
th Q869
mk Q221
tl Q574
tg Q945
to Q678
tt Q754
tn Q948
tr Q43
tm Q874
tv Q672
ug Q1036
ua Q212
ae Q878
gb Q145
tz Q924
us Q30
uy Q77
uz Q265
vu Q686
ve Q717
vn Q881
ye Q805
zm Q953
zw Q954
