Date,Name,Unit,Price,Used,Free,Billable,Charge
2016-04-03,Frontend Instance Hours,Hour,0.05,23.79,28.00,0.00,0.00
2016-04-03,Backend Instance Hours,Hour,0.05,0.00,9.00,0.00,0.00
2016-04-03,Datastore Storage,GByte-day,0.006,0.76,1.00,0.00,0.00
2016-04-03,Datastore Mobile Storage,GByte-day,0.006,0.00,1.00,0.00,0.00
2016-04-03,Logs Storage,GByte-day,0.0009,0.14,1.00,0.00,0.00
2016-04-03,Taskqueue Storage,GByte-day,0.0009,0.00,0.49,0.00,0.00
2016-04-03,Blobstore Storage,GByte-day,0.0009,0.02,5.00,0.00,0.00
2016-04-03,"Dedicated Memcache (10k ops/s/GB, 1GB unit)",GB-hour,0.06,0.00,0.00,0.00,0.00
2016-04-03,Code and Static File Storage,GByte-day,0.0009,0.06,1.00,0.00,0.00
2016-04-03,Datastore Writes,Million Ops,0.60,0.06,0.05,0.01,0.01
2016-04-03,Datastore Mobile Writes,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-04-03,Datastore Reads,Million Ops,0.60,0.03,0.05,0.00,0.00
2016-04-03,Datastore Mobile Reads,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-04-03,Small Datastore Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-04-03,Small Datastore Mobile Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-04-03,Internet egress NA to NA,GByte,0.017,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to EU1,GByte,0.018,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to EU2,GByte,0.03,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to ASIA,GByte,0.023,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to OC,GByte,0.197,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to CN,GByte,0.293,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to IN,GByte,0.05,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to SA,GByte,0.031,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to CA,GByte,0.031,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to ME,GByte,0.036,0.00,0.00,0.00,0.00
2016-04-03,Internet egress NA to AF,GByte,0.05,0.00,0.00,0.00,0.00
2016-04-03,Bandwidth Out,GByte,0.12,0.01,1.00,0.00,0.00
2016-04-03,Emails,100 Recipients,0.00,0.00,1.00,0.00,0.00
2016-04-03,XMPP Stanzas,100K Stanzas,0.00,0.00,0.10,0.00,0.00
2016-04-03,Opened Channels,100 Opens,0.00,0.03,1.00,0.00,0.00
2016-04-03,Logs Read Bandwidth,GByte,0.12,0.00,0.10,0.00,0.00
2016-04-03,PageSpeed Out Bandwidth,GByte,0.00,0.00,0.00,0.00,0.00
2016-04-03,SSL VIPs,Day,1.30,0.00,0.00,0.00,0.00
2016-04-03,SSL SNI Certificates,Day,0.00,0.00,0.00,0.00,0.00
2016-04-03,Other Search Ops,10k Ops,0.00,0.00,0.10,0.00,0.00
2016-04-03,Search Document Indexing,GByte,2.00,0.00,0.01,0.00,0.00
2016-04-03,Search Document Storage,GByte-day,0.006,0.00,0.25,0.00,0.00
2016-04-03,Complex Searches,10k Ops,0.50,0.00,0.01,0.00,0.00
2016-04-03,Simple Searches,10k Ops,0.50,0.00,0.10,0.00,0.00
2016-04-03,GCS Storage,GByte-day,0.0027,0.00,5.00,0.00,0.00
2016-04-03,GCS Class B Operations,Million Ops,1.00,0.00,0.05,0.00,0.00
2016-04-03,GCS Class A Operations,Million Ops,10.00,0.00,0.05,0.00,0.00
2016-04-03,GCS Bandwidth Out (Americas and EMEA),GByte,0.12,0.00,1.00,0.00,0.00
2016-04-03,GCS Bandwidth Out (Asia-Pacific),GByte,0.21,0.00,1.00,0.00,0.00
2016-04-02,Frontend Instance Hours,Hour,0.05,23.75,28.00,0.00,0.00
2016-04-02,Backend Instance Hours,Hour,0.05,0.00,9.00,0.00,0.00
2016-04-02,Datastore Storage,GByte-day,0.006,0.76,1.00,0.00,0.00
2016-04-02,Datastore Mobile Storage,GByte-day,0.006,0.00,1.00,0.00,0.00
2016-04-02,Logs Storage,GByte-day,0.0009,0.15,1.00,0.00,0.00
2016-04-02,Taskqueue Storage,GByte-day,0.0009,0.00,0.49,0.00,0.00
2016-04-02,Blobstore Storage,GByte-day,0.0009,0.02,5.00,0.00,0.00
2016-04-02,"Dedicated Memcache (10k ops/s/GB, 1GB unit)",GB-hour,0.06,0.00,0.00,0.00,0.00
2016-04-02,Code and Static File Storage,GByte-day,0.0009,0.06,1.00,0.00,0.00
2016-04-02,Datastore Writes,Million Ops,0.60,0.01,0.05,0.00,0.00
2016-04-02,Datastore Mobile Writes,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-04-02,Datastore Reads,Million Ops,0.60,0.02,0.05,0.00,0.00
2016-04-02,Datastore Mobile Reads,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-04-02,Small Datastore Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-04-02,Small Datastore Mobile Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-04-02,Internet egress NA to NA,GByte,0.017,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to EU1,GByte,0.018,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to EU2,GByte,0.03,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to ASIA,GByte,0.023,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to OC,GByte,0.197,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to CN,GByte,0.293,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to IN,GByte,0.05,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to SA,GByte,0.031,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to CA,GByte,0.031,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to ME,GByte,0.036,0.00,0.00,0.00,0.00
2016-04-02,Internet egress NA to AF,GByte,0.05,0.00,0.00,0.00,0.00
2016-04-02,Bandwidth Out,GByte,0.12,0.01,1.00,0.00,0.00
2016-04-02,Emails,100 Recipients,0.00,0.00,1.00,0.00,0.00
2016-04-02,XMPP Stanzas,100K Stanzas,0.00,0.00,0.10,0.00,0.00
2016-04-02,Opened Channels,100 Opens,0.00,0.04,1.00,0.00,0.00
2016-04-02,Logs Read Bandwidth,GByte,0.12,0.00,0.10,0.00,0.00
2016-04-02,PageSpeed Out Bandwidth,GByte,0.00,0.00,0.00,0.00,0.00
2016-04-02,SSL VIPs,Day,1.30,0.00,0.00,0.00,0.00
2016-04-02,SSL SNI Certificates,Day,0.00,0.00,0.00,0.00,0.00
2016-04-02,Other Search Ops,10k Ops,0.00,0.00,0.10,0.00,0.00
2016-04-02,Search Document Indexing,GByte,2.00,0.00,0.01,0.00,0.00
2016-04-02,Search Document Storage,GByte-day,0.006,0.00,0.25,0.00,0.00
2016-04-02,Complex Searches,10k Ops,0.50,0.00,0.01,0.00,0.00
2016-04-02,Simple Searches,10k Ops,0.50,0.00,0.10,0.00,0.00
2016-04-02,GCS Storage,GByte-day,0.0027,0.00,5.00,0.00,0.00
2016-04-02,GCS Class B Operations,Million Ops,1.00,0.00,0.05,0.00,0.00
2016-04-02,GCS Class A Operations,Million Ops,10.00,0.00,0.05,0.00,0.00
2016-04-02,GCS Bandwidth Out (Americas and EMEA),GByte,0.12,0.00,1.00,0.00,0.00
2016-04-02,GCS Bandwidth Out (Asia-Pacific),GByte,0.21,0.00,1.00,0.00,0.00
2016-04-01,Frontend Instance Hours,Hour,0.05,23.61,28.00,0.00,0.00
2016-04-01,Backend Instance Hours,Hour,0.05,0.00,9.00,0.00,0.00
2016-04-01,Datastore Storage,GByte-day,0.006,0.76,1.00,0.00,0.00
2016-04-01,Datastore Mobile Storage,GByte-day,0.006,0.00,1.00,0.00,0.00
2016-04-01,Logs Storage,GByte-day,0.0009,0.15,1.00,0.00,0.00
2016-04-01,Taskqueue Storage,GByte-day,0.0009,0.00,0.49,0.00,0.00
2016-04-01,Blobstore Storage,GByte-day,0.0009,0.02,5.00,0.00,0.00
2016-04-01,"Dedicated Memcache (10k ops/s/GB, 1GB unit)",GB-hour,0.06,0.00,0.00,0.00,0.00
2016-04-01,Code and Static File Storage,GByte-day,0.0009,0.06,1.00,0.00,0.00
2016-04-01,Datastore Writes,Million Ops,0.60,0.06,0.05,0.01,0.01
2016-04-01,Datastore Mobile Writes,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-04-01,Datastore Reads,Million Ops,0.60,0.03,0.05,0.00,0.00
2016-04-01,Datastore Mobile Reads,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-04-01,Small Datastore Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-04-01,Small Datastore Mobile Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-04-01,Internet egress NA to NA,GByte,0.017,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to EU1,GByte,0.018,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to EU2,GByte,0.03,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to ASIA,GByte,0.023,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to OC,GByte,0.197,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to CN,GByte,0.293,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to IN,GByte,0.05,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to SA,GByte,0.031,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to CA,GByte,0.031,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to ME,GByte,0.036,0.00,0.00,0.00,0.00
2016-04-01,Internet egress NA to AF,GByte,0.05,0.00,0.00,0.00,0.00
2016-04-01,Bandwidth Out,GByte,0.12,0.01,1.00,0.00,0.00
2016-04-01,Emails,100 Recipients,0.00,0.00,1.00,0.00,0.00
2016-04-01,XMPP Stanzas,100K Stanzas,0.00,0.00,0.10,0.00,0.00
2016-04-01,Opened Channels,100 Opens,0.00,0.03,1.00,0.00,0.00
2016-04-01,Logs Read Bandwidth,GByte,0.12,0.00,0.10,0.00,0.00
2016-04-01,PageSpeed Out Bandwidth,GByte,0.00,0.00,0.00,0.00,0.00
2016-04-01,SSL VIPs,Day,1.30,0.00,0.00,0.00,0.00
2016-04-01,SSL SNI Certificates,Day,0.00,0.00,0.00,0.00,0.00
2016-04-01,Other Search Ops,10k Ops,0.00,0.00,0.10,0.00,0.00
2016-04-01,Search Document Indexing,GByte,2.00,0.00,0.01,0.00,0.00
2016-04-01,Search Document Storage,GByte-day,0.006,0.00,0.25,0.00,0.00
2016-04-01,Complex Searches,10k Ops,0.50,0.00,0.01,0.00,0.00
2016-04-01,Simple Searches,10k Ops,0.50,0.00,0.10,0.00,0.00
2016-04-01,GCS Storage,GByte-day,0.0027,0.00,5.00,0.00,0.00
2016-04-01,GCS Class B Operations,Million Ops,1.00,0.00,0.05,0.00,0.00
2016-04-01,GCS Class A Operations,Million Ops,10.00,0.00,0.05,0.00,0.00
2016-04-01,GCS Bandwidth Out (Americas and EMEA),GByte,0.12,0.00,1.00,0.00,0.00
2016-04-01,GCS Bandwidth Out (Asia-Pacific),GByte,0.21,0.00,1.00,0.00,0.00
2016-03-31,Frontend Instance Hours,Hour,0.05,23.40,28.00,0.00,0.00
2016-03-31,Backend Instance Hours,Hour,0.05,0.00,9.00,0.00,0.00
2016-03-31,Datastore Storage,GByte-day,0.006,0.76,1.00,0.00,0.00
2016-03-31,Datastore Mobile Storage,GByte-day,0.006,0.00,1.00,0.00,0.00
2016-03-31,Logs Storage,GByte-day,0.0009,0.15,1.00,0.00,0.00
2016-03-31,Taskqueue Storage,GByte-day,0.0009,0.00,0.49,0.00,0.00
2016-03-31,Blobstore Storage,GByte-day,0.0009,0.02,5.00,0.00,0.00
2016-03-31,"Dedicated Memcache (10k ops/s/GB, 1GB unit)",GB-hour,0.06,0.00,0.00,0.00,0.00
2016-03-31,Code and Static File Storage,GByte-day,0.0009,0.06,1.00,0.00,0.00
2016-03-31,Datastore Writes,Million Ops,0.60,0.01,0.05,0.00,0.00
2016-03-31,Datastore Mobile Writes,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-03-31,Datastore Reads,Million Ops,0.60,0.01,0.05,0.00,0.00
2016-03-31,Datastore Mobile Reads,Million Ops,0.60,0.00,0.05,0.00,0.00
2016-03-31,Small Datastore Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-03-31,Small Datastore Mobile Operations,Million Ops,0.00,0.00,0.05,0.00,0.00
2016-03-31,Internet egress NA to NA,GByte,0.017,0.00,0.00,0.00,0.00
